District,Year,Below_6_years,6_12_years,12_16_years,16_18_years,18_30_years,30_45_years,45_60_years,60_plus_years,Total_Cases,year_total,female_total
SRI GANGANAGAR,2023,0,0,0,0,63,69,1,0,133,2272212,1068308
HANUMANGARH,2023,0,0,0,0,108,42,1,0,151,2047808,973319
BHARATPUR,2023,0,0,0,0,83,15,3,0,101,2940657,1376292
SAWAIMADHOPUR,2023,0,0,0,0,31,18,11,0,60,1541085,728708
DHOLPUR,2023,0,0,0,0,66,19,3,0,88,1392192,637953
KARAULI,2023,0,0,0,0,21,43,24,0,88,1682665,778428
JODHPUR,2023,0,0,0,0,106,47,2,0,155,4254600,2034590
JALORE,2023,0,0,0,0,5,45,0,0,50,2110162,1029385
JAISALMER,2023,0,0,0,0,18,3,0,0,21,773016,355643
BARMER,2023,0,0,0,0,57,25,2,0,84,3004454,1424747
PALI,2023,0,0,0,0,56,34,15,0,105,2351145,1167916
SIROHI,2023,0,0,0,0,48,13,0,0,61,1195834,579388
KOTA ,2023,0,0,0,0,170,48,2,0,180,2251265,1072952
BUNDI,2023,0,0,0,0,80,0,0,0,80,1281868,615887
JHALAWAR,2023,0,0,0,0,95,22,11,0,128,1628294,791556
BARAN,2023,0,0,0,0,52,11,7,0,70,1410930,679425
UDAIPUR,2023,0,0,0,0,172,70,4,0,246,3540633,1732710
BANSWARA,2023,0,0,0,0,86,22,0,0,108,2074108,1026656
CHITTORGARH,2023,0,0,0,0,48,65,0,0,113,1782003,878307
DUNGARPUR,2023,0,0,0,0,56,26,4,0,86,1602243,798518
RAJSAMAND,2023,0,0,0,0,59,0,0,0,59,1334591,663787
PRATAPGARH,2023,0,0,0,0,70,32,0,0,102,1001405,496295
AJMER,2024,2,7,20,17,72,30,5,0,152,3016337,1470148
BHILWARA,2024,0,0,13,25,100,29,3,0,170,2812532,1387028
NAGAUR,2024,0,0,9,18,97,7,2,0,133,3862588,1881719
TONK,2024,0,0,8,30,39,35,0,0,112,1659741,809467
JAIPUR ,2024,4,7,24,71,379,108,11,0,604,7737662,3687343
JHUNJHUNU,2024,0,1,8,16,47,35,2,0,109,2495516,1215793
SIKAR,2024,0,0,39,0,73,35,11,0,158,3126432,1520800
DAUSA,2024,0,2,9,34,99,29,0,0,173,1908567,906894
ALWAR,2024,0,0,7,62,130,106,6,0,311,4290491,2026210
BIKANER,2024,0,0,34,42,20,65,59,0,220,2760467,1311532
CHURU,2024,0,0,0,51,75,5,0,0,131,2381663,1153846
SRI GANGANAGAR,2024,0,1,4,36,106,41,0,0,189,2299479,1081128
HANUMANGARH,2024,0,3,27,9,86,45,19,0,189,2072381,984999
BHARATPUR,2024,0,1,8,15,85,32,5,0,146,2975944,1392807
SAWAIMADHOPUR,2024,0,1,9,17,21,19,6,0,73,1559578,737452
DHOLPUR,2024,0,0,0,24,62,45,14,0,145,1408899,645608
KARAULI,2024,0,1,8,16,45,33,3,0,106,1702857,787769
JODHPUR ,2024,1,5,17,49,139,62,3,0,276,4305655,2059005
JALORE,2024,0,1,0,7,15,15,9,0,47,2135484,1041737
JAISALMER,2024,1,1,0,4,8,10,0,0,24,782292,359911
BARMER,2024,0,0,6,34,56,32,3,0,131,3040508,1441844
PALI,2024,0,5,14,11,41,21,16,0,108,2379358,1181931
SIROHI,2024,0,0,2,33,0,73,0,1,109,1210184,586340
KOTA ,2024,0,6,25,27,108,39,10,0,215,2278280,1085828
BUNDI,2024,0,0,4,27,12,57,0,0,100,1297251,623277
JHALAWAR,2024,1,1,29,17,69,33,16,0,166,1647834,801054
BARAN,2024,0,3,25,13,33,38,22,0,134,1427862,687578
UDAIPUR,2024,0,1,23,29,120,38,4,0,215,3583121,1753503
BANSWARA,2024,0,0,11,32,59,31,0,0,133,2098998,1038976
CHITTORGARH,2024,0,0,12,13,35,49,0,0,109,1803387,888846
DUNGARPUR,2024,2,0,21,11,46,11,1,0,92,1621470,808100
RAJSAMAND,2024,0,0,0,21,20,51,0,0,92,1350606,671753
PRATAPGARH,2024,0,0,2,32,78,24,0,0,136,1013422,502250
